index,0
Merav Zafary-Odiz,"Merav Zafary-Odiz is Israel's Permanent Representative to the International Atomic Energy Agency (IAEA) and the Preparatory Commission for the Comprehensive Nuclear-Test-Ban Treaty Organization (CTBTO PrepCom) in Vienna. Zafary-Odiz earned a Master of Public Policy (MPP) from the Goldman School of Public Policy at the University of California, Berkeley and a BA in International Relations & Political Science from the Hebrew University of Jerusalem."
Nick Merrill,"Nicholas Merrill is an American system administrator, computer programmer, and entrepreneur. He is the founder of Calyx Internet Access, an Internet and hosted service provider founded in 1995, and of the non-profit Calyx Institute."
Ali Khedery,"Ali Khedery is an entrepreneur, political adviser, and chief executive of the U.S.-based Dragoman Ventures. He was the longest continuously serving American official in Iraq, from 2003 to 2009, and acted as a special assistant to five U.S. ambassadors and as a senior adviser to three heads of U.S. Central Command."
Valerie Henderson,"Valerie Kay Henderson (born April 19, 1986) is an American soccer goalkeeper currently playing for the Western New York Flash of the National Women's Soccer League.Attended Miramonte High School in Orinda, California where she played all 4 years on the Varsity Women's Soccer Team. She played four seasons as the starting goalkeeper for the UCLA women's soccer team from 2004 to 2007, and subsequently played at a professional level for Pali Blues, Los Angeles Sol and Philadelphia Independence plus Damallsvenskan side KIF Örebro before signing for the Atlanta Beat in 2012."
Arseniy Yatsenyuk,"Arseniy Petrovych Yatsenyuk (Ukrainian: Арсеній Петрович Яценюк [ɐrˈsɛn⁽ʲ⁾ij peˈtrɔwɪtʃ jɐtseˈnʲuk]; born 22 May 1974) is a Ukrainian politician, economist and lawyer who served as Prime Minister of Ukraine from 27 February 2014 to 14 April 2016.
Yatsenyuk's first government post was as Minister of Economy from 2005 to 2006; subsequently he was Foreign Minister of Ukraine in 2007 and Chairman of the Verkhovna Rada (parliament) from 2007 to 2008."
Joseph Macmanus,"Joseph Estey Macmanus (born 1953) is an American diplomat who served as Executive Secretary of the United States Department of State from 2014 to 2017. Prior to that, he served as the U.S. Ambassador to International Organizations in Vienna from 2012 to 2014, as well as interim coordinator for efforts to implement President Barack Obama's Iran Nuclear Deal in 2015."
Nile Gardiner,"Nile Gardiner is a British  conservative commentator. He is director of the Margaret Thatcher Center for Freedom at The Heritage Foundation, and was for a time an aide to former British Prime Minister Margaret Thatcher."
OECD,"The Organisation for Economic Co-operation and Development (OECD; French: Organisation de Coopération et de Développement Économiques, OCDE) is an intergovernmental economic organisation with 38 member countries, founded in 1961 to stimulate economic progress and world trade. It is a forum of countries describing themselves as committed to democracy and the market economy, providing a platform to compare policy experiences, seek answers to common problems, identify good practices and coordinate domestic and international policies of its members."
Peter Brookes,"Peter D. Brookes,  (born 28 September 1943) is an English cartoonist who has produced work for numerous publications, including Radio Times, New Society, New Statesman, The Spectator, and, most notably, The Times, for which he has been the leader-page cartoonist since 1992. He has won the title of Cartoonist of the Year at the British Press Awards in 2012, 2011, 2010, 2007, and 2002."
Media Israel,"The mass media in Israel refers to print, broadcast and online media available in the State of Israel. The country boasts dozens of newspapers, magazines, and radio stations, which play an important role by the press in political, social and cultural life and cater it to a modern, developed and literate society."
Jim Bridenstine,"James Frederick Bridenstine (born June 15, 1975) is an American military officer and politician who served as the 13th administrator of the National Aeronautics and Space Administration (NASA). Bridenstine was the United States representative for Oklahoma's 1st congressional district, based in Tulsa from January 3, 2013, to April 23, 2018."
Frank Kendall,"Frank Kendall III (born January 26, 1949) is an American engineer, lawyer, and executive who is the 26th United States Secretary of the Air Force. He has served in several senior positions in the US Department of Defense."
Jean-Paul Palomeros,"Jean-Paul Paloméros (born 13 August 1953 in Paris) is a retired  general of the French Air Force and served as Supreme Allied Commander Transformation, a senior military post in NATO. Paloméros previously served as Chief of Staff of the French Air Force from 2009 to 2012.


== Air force career ==
In 1973, he joined l'École de l'Air, the French Air Force Academy and qualified as a fighter pilot in 1976."
Megyn Kelly,"Megyn Marie Kelly (; born November 18, 1970) is an American journalist, attorney, political commentator, talk show host, and television news anchor. She currently hosts a talk show and podcast, The Megyn Kelly Show, that airs live daily on SiriusXM. She was a talk show host at Fox News from 2004 to 2017 and a host and correspondent with NBC News from 2017 to 2018."
Jesselyn Radack,"Jesselyn Radack (born December 12, 1970) is an American national security and human rights attorney known for her defense of whistleblowers, journalists, and hacktivists. She graduated from Brown University and Yale Law School and began her career as an Honors Program attorney at the U.S. Department of Justice."
Edward MacMahon,"Edward Leo Peter McMahon Jr. (March 6, 1923 – June 23, 2009) was an American announcer, game show host, comedian, actor, singer and combat aviator."
Leonie M. Brinkema,"Leonie Helen Milhomme Brinkema (born June 26, 1944) is a United States District Judge of the United States District Court for the Eastern District of Virginia.


== Early life and education ==
She was born as Leonie Milhomme in Teaneck, New Jersey."
Dana Boente,"Dana James Boente ( Bent-Ë) (born February 7, 1954) is an American attorney who served as General Counsel of the FBI from January 2018 to 2020, United States Attorney for the Eastern District of Virginia from September 2013 to January 2018, and as the Acting United States Attorney General from January to February 2017. He also served as acting assistant attorney general for the National Security Division of the United States Department of Justice."
Mohammad Reza Rahimi,"Mohammad Reza Rahimi (Persian: محمدرضا رحيمی, born on 11 January 1949) is an Iranian politician who served as the fifth first vice president from 13 September 2009 until 3 August 2013. His previous posts included governor of the Kurdistan province and vice president for parliamentary affairs."
Abbas Milani,Abbas Malekzadeh Milani (Persian: عباس ملک‌زاده میلانی; born 1949) is an Iranian-American historian and author. Milani is a visiting professor of Political Science and the director of the Iranian Studies program at Stanford University.
Brian McKeon,"Brian Patrick McKeon (born February 11, 1964) is an American attorney and national security advisor who is the Deputy Secretary of State for Management and Resources in the Biden Administration since March 19, 2021.


== Early life and education ==
McKeon was born and raised in Auburn, New York, graduating from Auburn High School in 1981."
Joint Plan of Action,"On 24 November 2013, the Joint Plan of Action (برنامه اقدام مشترک), also known as the Geneva interim agreement (Persian: توافق هسته‌ای ژنو), was a pact signed between Iran and the P5+1 countries in Geneva, Switzerland. It consists of a short-term freeze of portions of Iran's nuclear program in exchange for decreased economic sanctions on Iran, as the countries work towards a long-term agreement."
Tony De Brum,"Tony deBrum (February 26, 1945 – August 22, 2017) was a Marshallese politician and government minister. 


== Career ==
He helped organize the Marshall Islands' independence from the United States and later served as Foreign Minister of the Marshall Islands from 1979 to 1987, from 2008 to 2009 and from 2014 to 2016."
